SRR30183952	Silene_verecunda	Caryophyllaceae
SRR30183458	Streptanthus_glandulosus	Brassicaceae
SRR35806671	Carpenteria_californica	Hydrangeaceae
SRR35807865	Dudleya_viscida	Crassulaceae
SRR35806735	Iris_munzii	Iridaceae_monocot
SRR35806654	Carex_obispoensis	Cyperaceae_monocot
SRR35806652	Berberis_harrisoniana	Berberidaceae
SRR35807883	Rosa_pinetorum	Rosaceae
SRR35806807	Ceanothus_ophiochilus	Rhamnaceae
SRR35806662	Calochortus_raichei	Liliaceae_monocot
